372,2016-11-23,9,8,8
376,2016-11-23,5,12,13
378,2016-11-23,2,5,5
379,2016-11-23,57,30,31
382,2016-11-23,0,0,0
383,2016-11-23,162,129,136
384,2016-11-23,41,45,46
385,2016-11-23,80,65,71
386,2016-11-23,187,113,125
387,2016-11-23,306,141,145
389,2016-11-23,0,12,13
392,2016-11-23,3160,787,855
393,2016-11-23,0,0,0
397,2016-11-23,241,113,119
399,2016-11-23,5,4,4
400,2016-11-23,0,0,0
407,2016-11-23,1343,541,558
409,2016-11-23,55,52,54
413,2016-11-23,2,5,5
414,2016-11-23,777,704,735
416,2016-11-23,10,11,16
419,2016-11-23,443,141,148
420,2016-11-23,588,296,303
421,2016-11-23,9,17,18
430,2016-11-23,33,40,45
431,2016-11-23,3,5,5
432,2016-11-23,0,1,1
433,2016-11-23,0,0,0
435,2016-11-23,250,39,43
437,2016-11-23,2,3,3
438,2016-11-23,31,25,27
439,2016-11-23,15,16,16
440,2016-11-23,2,3,3
441,2016-11-23,0,0,0
442,2016-11-23,0,13,13
443,2016-11-23,0,0,0
444,2016-11-23,3073,774,819
445,2016-11-23,27,21,23
446,2016-11-23,0,0,0
448,2016-11-23,0,2,2
449,2016-11-23,807,247,269
450,2016-11-23,2401,719,748
452,2016-11-23,3,4,4
455,2016-11-23,0,1,1
457,2016-11-23,14,18,21
458,2016-11-23,7140,2353,2505
460,2016-11-23,4080,1173,1251
464,2016-11-23,1710,397,417
465,2016-11-23,2843,1254,1365
467,2016-11-23,10997,2521,2862
469,2016-11-23,0,0,0
471,2016-11-23,0,5,5
472,2016-11-23,0,1,1
474,2016-11-23,4,2,2
475,2016-11-23,146,69,82
476,2016-11-23,0,0,0
477,2016-11-23,0,1,1
480,2016-11-23,209,117,119
481,2016-11-23,0,1,1
482,2016-11-23,0,0,0
484,2016-11-23,0,0,0
485,2016-11-23,0,2,2
486,2016-11-23,12,10,11
487,2016-11-23,0,0,0
488,2016-11-23,0,0,0
489,2016-11-23,55,54,56
491,2016-11-23,0,1,1
493,2016-11-23,310,209,220
495,2016-11-23,0,1,1
496,2016-11-23,40,37,39
500,2016-11-23,246,233,235
501,2016-11-23,160,55,55
502,2016-11-23,10,9,10
503,2016-11-23,375,192,198
504,2016-11-23,25785,5125,5878
507,2016-11-23,9,11,11
508,2016-11-23,0,1,1
509,2016-11-23,0,0,0
510,2016-11-23,0,0,0
511,2016-11-23,684,191,197
516,2016-11-23,16199,4268,4610
518,2016-11-23,0,0,0
525,2016-11-23,0,1,1
526,2016-11-23,3,3,3
529,2016-11-23,7540,1158,1288
530,2016-11-23,5145,819,917
532,2016-11-23,26891,3473,3755
533,2016-11-23,2378,421,433
534,2016-11-23,0,9,9
538,2016-11-23,35,33,33
539,2016-11-23,0,5,5
540,2016-11-23,273,180,189
541,2016-11-23,815,368,388
542,2016-11-23,1676,504,537
544,2016-11-23,25,26,26
546,2016-11-23,1456,558,613
547,2016-11-23,13410,2883,3236
550,2016-11-23,0,0,0
551,2016-11-23,0,0,0
552,2016-11-23,5799,1247,1331
553,2016-11-23,2893,759,807
555,2016-11-23,12383,1647,1777
556,2016-11-23,0,0,0
558,2016-11-23,25979,7564,8272
559,2016-11-23,22937,4838,5338
560,2016-11-23,14889,3803,4148
561,2016-11-23,1297,346,361
564,2016-11-23,0,0,0
566,2016-11-23,6809,2148,2392
567,2016-11-23,1544,738,770
568,2016-11-23,128,117,123
569,2016-11-23,0,0,0
570,2016-11-23,20251,4006,4300
571,2016-11-23,60,37,42
